Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),User Growth JSON,Earnings Quality JSON,Static ,Live,Symbol
Internet Computer,Blockchains (L1),34.99216143,74.21487603,91.19318182,88.3,72.17505482,Strong Growth,Undervalued,AA,"{""name"": ""Internet Computer"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 74.21487603305783, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Internet Computer"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 34.99216143098731}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,icp
MultiversX,Blockchains (L1),30.99086042,52.53787879,53.08238636,83.43,55.01028139,Steady Growth,Fairly Valued,A,"{""name"": ""MultiversX"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 52.53787878787879, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""MultiversX"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 30.99086041551533}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,egld
NEAR Protocol,Blockchains (L1),45.60837441,34.00568182,49.32692308,90.96,54.97524483,Slow Growth,Fairly Valued,AA,"{""name"": ""NEAR Protocol"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 34.00568181818182, ""growth_category"": ""Slow Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""NEAR Protocol"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 45.6083744084649}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,near
Polkadot,Blockchains (L1),29.47191562,43.33908279,36.82692308,84.11,48.43698037,Slow Growth,Overvalued,A,"{""name"": ""Polkadot"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 43.33908279220779, ""growth_category"": ""Slow Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Polkadot"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 29.47191562406533}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,dot
RedStone,Blockchains (L1),32.06323209,68.96590909,60.94951923,84.93,61.7271651,Strong Growth,Fairly Valued,A,"{""name"": ""RedStone"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 68.9659090909091, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""RedStone"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 32.063232086680955}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,red
Ronin Network,Blockchains (L1),19.76231383,54.89071386,44.23076923,75.52,48.60094923,Steady Growth,Fairly Valued,BBB,"{""name"": ""Ronin Network"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 54.890713861302096, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Ronin Network"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 19.76231383028733}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,ron
Solana,Blockchains (L1),36.12038313,96.22273152,79.43181818,91.78,75.88873321,Exceptional Growth,Undervalued,AA,"{""name"": ""Solana"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 96.22273151684917, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Solana"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 36.12038312840085}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,sol
Sonic Labs (prev. Fantom),Blockchains (L1),21.67443534,32.89152024,36.875,89.26,45.1752389,Slow Growth,Overvalued,AA,"{""name"":""Sonic Labs (prev. Fantom)"",""sector"":""Blockchains (L1)"",""scores"":{""user_growth"":32.8915202444614,""growth_category"":""Slow Growth""},""peers"":[{""name"":""Algorand"",""scores"":{""user_growth"":57.27272727272727}},{""name"":""Celo"",""scores"":{""user_growth"":56.73683261183261}},{""name"":""Cosmos"",""scores"":{""user_growth"":55.0}},{""name"":""Ronin Network"",""scores"":{""user_growth"":54.890713861302096}}],""sector_averages"":{""user_growth"":51.53,""count"":66}}","{""name"":""Sonic Labs (prev. Fantom)"",""sector"":""Blockchains (L1)"",""scores"":{""earnings_quality"":21.67443534},""peers"":[{""name"":""Ronin Network"",""scores"":{""earnings_quality"":19.76231383}},{""name"":""Filecoin"",""scores"":{""earnings_quality"":22.23684806}},{""name"":""Cosmos"",""scores"":{""earnings_quality"":26.15789224}},{""name"":""Ethereum"",""scores"":{""earnings_quality"":26.40262319}}],""sector_averages"":{""earnings_quality"":10.76,""count"":69}}",FALSE,FALSE,sonic
TRON,Blockchains (L1),89.21328539,88.24044012,93.07692308,87.49,89.50516215,Exceptional Growth,Undervalued,AA,"{""name"": ""TRON"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 88.24044011544011, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""TRON"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 89.21328539488609}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,trx
Arbitrum,Blockchains (L2),64.95491371,96.30346291,70.41071429,94.3,81.49227273,Exceptional Growth,Undervalued,AAA,"{""name"": ""Arbitrum"", ""sector"": ""Blockchains (L2)"", ""scores"": {""user_growth"": 96.30346290771791, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Gravity"", ""scores"": {""user_growth"": 81.36211567178466}}, {""name"": ""Immutable X"", ""scores"": {""user_growth"": 90.02038225560229}}, {""name"": ""StarkNet"", ""scores"": {""user_growth"": 74.82779415706244}}, {""name"": ""Uniswap"", ""scores"": {""user_growth"": 77.58420441347272}}], ""sector_averages"": {""user_growth"": 54.93, ""count"": 66}}","{""name"": ""Arbitrum"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 64.9549137112815}, ""peers"": [{""name"": ""Gravity"", ""scores"": {""earnings_quality"": 33.303054003849226}}, {""name"": ""Immutable X"", ""scores"": {""earnings_quality"": 62.73696331707027}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}",FALSE,FALSE,arb
Gravity,Blockchains (L2),33.303054,81.36211567,71.04395604,85.13,67.70978143,Exceptional Growth,Undervalued,A,"{""name"": ""Gravity"", ""sector"": ""Blockchains (L2)"", ""scores"": {""user_growth"": 81.36211567178466, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""user_growth"": 96.30346290771791}}, {""name"": ""Immutable X"", ""scores"": {""user_growth"": 90.02038225560229}}, {""name"": ""StarkNet"", ""scores"": {""user_growth"": 74.82779415706244}}, {""name"": ""Uniswap"", ""scores"": {""user_growth"": 77.58420441347272}}], ""sector_averages"": {""user_growth"": 54.93, ""count"": 66}}","{""name"": ""Gravity"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 33.303054003849226}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""earnings_quality"": 64.9549137112815}}, {""name"": ""Immutable X"", ""scores"": {""earnings_quality"": 62.73696331707027}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}",FALSE,FALSE,gzro
Immutable X,Blockchains (L2),62.73696332,90.02038226,92.61538462,90.06,83.85818255,Exceptional Growth,Undervalued,AA,"{""name"": ""Immutable X"", ""sector"": ""Blockchains (L2)"", ""scores"": {""user_growth"": 90.02038225560229, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""user_growth"": 96.30346290771791}}, {""name"": ""Gravity"", ""scores"": {""user_growth"": 81.36211567178466}}, {""name"": ""StarkNet"", ""scores"": {""user_growth"": 74.82779415706244}}, {""name"": ""Uniswap"", ""scores"": {""user_growth"": 77.58420441347272}}], ""sector_averages"": {""user_growth"": 54.93, ""count"": 66}}","{""name"": ""Immutable X"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 62.73696331707027}, ""peers"": [{""name"": ""Arbitrum"", ""scores"": {""earnings_quality"": 64.9549137112815}}, {""name"": ""Gravity"", ""scores"": {""earnings_quality"": 33.303054003849226}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}",FALSE,FALSE,imx
